,,,,,
,City,Hotel,Num_reviews,Chain,Star
,Miami,Holiday Inn Miami North – I-95,2,,
,Miami,Holiday Inn Port of Miami Downtown,92,Yes,3
,Miami,Homewood Suites by Hilton Miami Downtown/Brickell,77,Yes,3
,Miami,Homewood Suites Miami-Airport / Blue Lagoon,97,Yes,3
,Miami,Homewood Suites Miami-Airport West,100,Yes,3
,Miami,Hyatt Centric Brickell Miami,52,Yes,4
,Miami,HYATT House Miami Airport,92,Yes,3
,Miami,La Quinta Inn & Suites by Wyndham Miami Airport West,81,Yes,3
,Miami,Marriott's Villas at Doral,44,Yes,4
,Miami,Miami Airport Marriott,97,Yes,3
,Miami,Miami International Airport Hotel,100,No,3
,Miami,Real Living Residences,3,,
,Miami,Regency Miami Airport,15,Yes,3
,Miami,Residence Inn by Marriott Miami Airport,66,Yes,3
,Miami,Residence Inn by Marriott Miami Coconut Grove,86,Yes,3
,Miami,Residence Inn by Marriott Miami West/FL Turnpike,14,Yes,3
,Miami,Shalimar Motel,32,No,3
,Miami,Sheraton Miami Airport Hotel & Executive Meeting Center,91,Yes,3
,Miami,SpringHill Suites Miami Airport South,70,Yes,3
,Miami,SpringHill Suites Miami Doral,1,,
,Miami,SpringHill Suites Miami Downtown/Medical Center,89,Yes,3
,Miami,Stay Alfred Brickell,87,Yes,3
,Miami,Staybridge Suites Miami International Airport,26,Yes,3
,Miami,The Copper Door B&B,2,,
,Miami,The Lofts on the Park,2,,
,Miami,TownePlace Suites by Marriott Miami Airport,28,Yes,3
,Miami,Vagabond Hotel Miami,18,No,3
,LA,Best Western Plus Sunset Plaza Hotel,51,Yes,3
,LA,Blvd Hotel & Spa,87,Yes,3
,LA,BLVD Hotel & Suites,70,Yes,3
,LA,Courtyard by Marriott Santa Monica,51,Yes,3
,LA,Courtyard Los Angeles LAX/Century Boulevard,2,,
,LA,Crescent Hotel Beverly Hills,30,No,3
,LA,DoubleTree by Hilton Hotel San Pedro,54,Yes,3
,LA,Elan Hotel,87,No,3
,LA,Embassy Suites by Hilton LAX North,94,Yes,3
,LA,Farmer's Daughter Hotel,56,No,3
,LA,Four Points by Sheraton Los Angeles International Airport,68,Yes,3
,LA,Freehand Los Angeles,47,Yes,4
,LA,Gateway Hotel Santa Monica,94,Yes,3
,LA,Grafton on Sunset,99,No,3
,LA,"H Hotel Los Angeles, Curio Collection by Hilton",89,Yes,4
